Hora,Nivel de oxígeno,Frecuencia de pulso,Movimiento,Recordatorio de O2,Recordatorio de PR
14:24:00 Oct 08 2024,94,73,0,0,0
14:24:04 Oct 08 2024,94,72,1,0,0
14:24:08 Oct 08 2024,94,71,0,0,0
14:24:12 Oct 08 2024,94,70,1,0,0
14:24:16 Oct 08 2024,94,71,1,0,0
14:24:20 Oct 08 2024,93,72,1,0,0
14:24:24 Oct 08 2024,94,71,0,0,0
14:24:28 Oct 08 2024,94,71,1,0,0
14:24:32 Oct 08 2024,95,75,1,0,0
14:24:36 Oct 08 2024,95,77,1,0,0
14:24:40 Oct 08 2024,94,78,2,0,0
14:24:44 Oct 08 2024,93,75,1,0,0
14:24:48 Oct 08 2024,93,75,0,0,0
14:24:52 Oct 08 2024,93,76,1,0,0
14:24:56 Oct 08 2024,93,76,1,0,0
14:25:00 Oct 08 2024,93,74,0,0,0
14:25:04 Oct 08 2024,94,72,1,0,0
14:25:08 Oct 08 2024,94,72,1,0,0
14:25:12 Oct 08 2024,95,72,0,0,0
14:25:16 Oct 08 2024,95,71,1,0,0
14:25:20 Oct 08 2024,96,70,0,0,0
14:25:24 Oct 08 2024,96,70,1,0,0
14:25:28 Oct 08 2024,96,71,0,0,0
14:25:32 Oct 08 2024,95,69,1,0,0
14:25:36 Oct 08 2024,95,66,1,0,0
14:25:40 Oct 08 2024,95,67,1,0,0
14:25:44 Oct 08 2024,95,69,1,0,0
14:25:48 Oct 08 2024,94,72,0,0,0
14:25:52 Oct 08 2024,94,73,1,0,0
14:25:56 Oct 08 2024,95,72,1,0,0
14:26:00 Oct 08 2024,95,71,1,0,0
14:26:04 Oct 08 2024,95,69,0,0,0
14:26:08 Oct 08 2024,95,68,1,0,0
14:26:12 Oct 08 2024,95,70,1,0,0
14:26:16 Oct 08 2024,94,70,1,0,0
14:26:20 Oct 08 2024,95,69,0,0,0
