Hora,Nivel de oxígeno,Frecuencia de pulso,Movimiento,Recordatorio de O2,Recordatorio de PR
14:03:47 Oct 08 2024,93,87,1,0,0
14:03:51 Oct 08 2024,92,86,1,0,0
14:03:55 Oct 08 2024,93,86,1,0,0
14:03:59 Oct 08 2024,92,88,1,0,0
14:04:03 Oct 08 2024,91,86,1,0,0
14:04:07 Oct 08 2024,91,84,0,0,0
14:04:11 Oct 08 2024,92,84,0,0,0
14:04:15 Oct 08 2024,93,86,0,0,0
14:04:19 Oct 08 2024,93,86,1,0,0
14:04:23 Oct 08 2024,93,85,0,0,0
14:04:27 Oct 08 2024,93,85,0,0,0
14:04:31 Oct 08 2024,93,87,1,0,0
14:04:35 Oct 08 2024,93,86,0,0,0
14:04:39 Oct 08 2024,93,85,1,0,0
14:04:43 Oct 08 2024,93,85,0,0,0
14:04:47 Oct 08 2024,93,84,0,0,0
14:04:51 Oct 08 2024,93,84,1,0,0
14:04:55 Oct 08 2024,93,85,1,0,0
14:04:59 Oct 08 2024,93,89,2,0,0
14:05:03 Oct 08 2024,93,92,0,0,0
14:05:07 Oct 08 2024,93,92,1,0,0
14:05:11 Oct 08 2024,93,90,1,0,0
14:05:15 Oct 08 2024,94,90,1,0,0

