Hora,Nivel de oxígeno,Frecuencia de pulso,Movimiento,Recordatorio de O2,Recordatorio de PR
13:09:30 Oct 22 2024,95,87,0,0,0
13:09:34 Oct 22 2024,95,88,1,0,0
13:09:38 Oct 22 2024,95,84,1,0,0
13:09:42 Oct 22 2024,95,85,0,0,0
13:09:46 Oct 22 2024,95,85,1,0,0
13:09:50 Oct 22 2024,94,90,1,0,0
13:09:54 Oct 22 2024,94,90,1,0,0
13:09:58 Oct 22 2024,93,91,1,0,0
13:10:02 Oct 22 2024,93,91,1,0,0
13:10:06 Oct 22 2024,93,90,1,0,0
13:10:10 Oct 22 2024,93,90,1,0,0
13:10:14 Oct 22 2024,93,90,1,0,0
13:10:18 Oct 22 2024,93,91,1,0,0
13:10:22 Oct 22 2024,93,91,1,0,0
13:10:26 Oct 22 2024,93,93,1,0,0
13:10:30 Oct 22 2024,94,93,2,0,0
13:10:34 Oct 22 2024,94,91,1,0,0
13:10:38 Oct 22 2024,94,94,1,0,0
13:10:42 Oct 22 2024,94,93,1,0,0
13:10:46 Oct 22 2024,94,93,1,0,0
13:10:50 Oct 22 2024,94,93,1,0,0
13:10:54 Oct 22 2024,94,93,1,0,0

