Hora,Nivel de oxígeno,Frecuencia de pulso,Movimiento,Recordatorio de O2,Recordatorio de PR
13:01:52 Oct 22 2024,94,61,1,0,0
13:01:56 Oct 22 2024,93,65,0,0,0
13:02:00 Oct 22 2024,93,66,0,0,0
13:02:04 Oct 22 2024,93,64,0,0,0
13:02:08 Oct 22 2024,93,66,1,0,0
13:02:12 Oct 22 2024,93,67,0,0,0
13:02:16 Oct 22 2024,93,67,1,0,0
13:02:20 Oct 22 2024,93,68,1,0,0
13:02:24 Oct 22 2024,93,67,1,0,0
13:02:28 Oct 22 2024,94,67,1,0,0
13:02:32 Oct 22 2024,94,67,1,0,0
13:02:36 Oct 22 2024,94,68,1,0,0
13:02:40 Oct 22 2024,93,69,1,0,0
13:02:44 Oct 22 2024,93,70,1,0,0
13:02:48 Oct 22 2024,93,69,1,0,0
13:02:52 Oct 22 2024,93,64,0,0,0
13:02:56 Oct 22 2024,94,63,1,0,0
13:03:00 Oct 22 2024,94,63,1,0,0
13:03:04 Oct 22 2024,94,67,1,0,0
13:03:08 Oct 22 2024,94,67,1,0,0
13:03:12 Oct 22 2024,94,67,1,0,0
13:03:16 Oct 22 2024,94,66,1,0,0

