Hora,Nivel de oxígeno,Frecuencia de pulso,Movimiento,Recordatorio de O2,Recordatorio de PR
13:59:56 Oct 22 2024,95,92,1,0,0
14:00:00 Oct 22 2024,95,89,1,0,0
14:00:04 Oct 22 2024,96,81,1,0,0
14:00:08 Oct 22 2024,96,79,1,0,0
14:00:12 Oct 22 2024,96,82,1,0,0
14:00:16 Oct 22 2024,95,85,2,0,0
14:00:20 Oct 22 2024,96,85,1,0,0
14:00:24 Oct 22 2024,96,85,1,0,0
14:00:28 Oct 22 2024,95,86,1,0,0
14:00:32 Oct 22 2024,94,88,9,0,0
14:00:36 Oct 22 2024,93,89,1,0,0
14:00:40 Oct 22 2024,93,87,1,0,0
14:00:44 Oct 22 2024,94,88,8,0,0
14:00:48 Oct 22 2024,94,88,1,0,0
14:00:52 Oct 22 2024,94,88,1,0,0
14:00:56 Oct 22 2024,94,87,1,0,0
14:01:00 Oct 22 2024,94,87,0,0,0
14:01:04 Oct 22 2024,94,87,1,0,0
14:01:08 Oct 22 2024,94,87,1,0,0
14:01:12 Oct 22 2024,94,88,1,0,0
14:01:16 Oct 22 2024,94,86,3,0,0
14:01:20 Oct 22 2024,94,86,10,0,0

