Hora,Nivel de oxígeno,Frecuencia de pulso,Movimiento,Recordatorio de O2,Recordatorio de PR
13:31:36 Sep 30 2024,95,63,1,0,0
13:31:40 Sep 30 2024,96,62,1,0,0
13:31:44 Sep 30 2024,96,61,1,0,0
13:31:48 Sep 30 2024,96,60,1,0,0
13:31:52 Sep 30 2024,96,62,1,0,0
13:31:56 Sep 30 2024,96,61,1,0,0
13:32:00 Sep 30 2024,95,60,1,0,0
13:32:04 Sep 30 2024,96,60,1,0,0
13:32:08 Sep 30 2024,96,60,1,0,0
13:32:12 Sep 30 2024,96,58,1,0,0
13:32:16 Sep 30 2024,96,58,1,0,0
13:32:20 Sep 30 2024,96,60,1,0,0
13:32:24 Sep 30 2024,96,61,0,0,0
13:32:28 Sep 30 2024,96,59,1,0,0
13:32:32 Sep 30 2024,96,58,1,0,0
13:32:36 Sep 30 2024,96,58,1,0,0
13:32:40 Sep 30 2024,96,58,1,0,0
13:32:44 Sep 30 2024,96,59,1,0,0
13:32:48 Sep 30 2024,96,61,1,0,0
13:32:52 Sep 30 2024,96,64,1,0,0
13:32:56 Sep 30 2024,96,66,0,0,0
13:33:00 Sep 30 2024,96,61,1,0,0
13:33:04 Sep 30 2024,96,61,7,0,0
