Hora,Nivel de oxígeno,Frecuencia de pulso,Movimiento,Recordatorio de O2,Recordatorio de PR
15:05:46 Oct 08 2024,96,62,1,0,0
15:05:50 Oct 08 2024,96,64,1,0,0
15:05:54 Oct 08 2024,96,68,1,0,0
15:05:58 Oct 08 2024,96,69,1,0,0
15:06:02 Oct 08 2024,96,66,1,0,0
15:06:06 Oct 08 2024,96,62,1,0,0
15:06:10 Oct 08 2024,95,61,1,0,0
15:06:14 Oct 08 2024,95,63,1,0,0
15:06:18 Oct 08 2024,95,63,1,0,0
15:06:22 Oct 08 2024,95,63,16,0,0
15:06:26 Oct 08 2024,97,67,14,0,0
15:06:30 Oct 08 2024,96,70,17,0,0
15:06:34 Oct 08 2024,94,72,40,0,0
15:06:38 Oct 08 2024,92,73,28,0,0
15:06:42 Oct 08 2024,91,73,28,0,0
15:06:46 Oct 08 2024,92,74,25,0,0
15:06:50 Oct 08 2024,96,73,19,0,0
15:06:54 Oct 08 2024,96,71,1,0,0
15:06:58 Oct 08 2024,95,69,1,0,0
15:07:02 Oct 08 2024,94,67,1,0,0
15:07:06 Oct 08 2024,94,67,1,0,0
15:07:10 Oct 08 2024,95,67,1,0,0
15:07:14 Oct 08 2024,95,71,1,0,0
15:07:18 Oct 08 2024,95,72,12,0,0
15:07:22 Oct 08 2024,95,73,54,0,0
15:07:26 Oct 08 2024,94,72,34,0,0
15:07:30 Oct 08 2024,93,72,49,0,0
15:07:34 Oct 08 2024,93,72,56,0,0
15:07:38 Oct 08 2024,92,73,52,0,0
15:07:42 Oct 08 2024,95,72,45,0,0
15:07:46 Oct 08 2024,96,72,56,0,0
15:07:50 Oct 08 2024,96,73,40,0,0
15:07:54 Oct 08 2024,94,73,1,0,0
15:07:58 Oct 08 2024,93,73,1,0,0
15:08:02 Oct 08 2024,93,73,1,0,0
15:08:06 Oct 08 2024,93,72,1,0,0
15:08:10 Oct 08 2024,93,70,1,0,0
15:08:14 Oct 08 2024,94,69,1,0,0
15:08:18 Oct 08 2024,94,70,1,0,0
15:08:22 Oct 08 2024,94,71,88,0,0
15:08:26 Oct 08 2024,94,71,97,0,0
15:08:30 Oct 08 2024,94,71,109,0,0
15:08:34 Oct 08 2024,94,71,60,0,0
15:08:38 Oct 08 2024,94,71,71,0,0
15:08:42 Oct 08 2024,94,71,95,0,0
15:08:46 Oct 08 2024,94,71,101,0,0
15:08:50 Oct 08 2024,94,71,90,0,0
15:08:54 Oct 08 2024,94,72,6,0,0
15:08:58 Oct 08 2024,94,69,1,0,0
15:09:02 Oct 08 2024,94,69,2,0,0
15:09:06 Oct 08 2024,94,67,1,0,0
15:09:10 Oct 08 2024,94,66,1,0,0
15:09:14 Oct 08 2024,94,67,1,0,0
15:09:18 Oct 08 2024,94,67,1,0,0
15:09:22 Oct 08 2024,94,68,1,0,0
15:09:26 Oct 08 2024,94,69,1,0,0
15:09:30 Oct 08 2024,95,73,1,0,0
15:09:34 Oct 08 2024,95,76,2,0,0
15:09:38 Oct 08 2024,95,75,1,0,0
15:09:42 Oct 08 2024,95,75,1,0,0
15:09:46 Oct 08 2024,96,75,1,0,0
15:09:50 Oct 08 2024,95,73,1,0,0
15:09:54 Oct 08 2024,94,73,1,0,0
15:09:58 Oct 08 2024,94,70,1,0,0
15:10:02 Oct 08 2024,94,67,0,0,0
15:10:06 Oct 08 2024,94,66,1,0,0
15:10:10 Oct 08 2024,94,67,1,0,0
15:10:14 Oct 08 2024,94,69,1,0,0
15:10:18 Oct 08 2024,94,69,1,0,0
