Hora,Nivel de oxígeno,Frecuencia de pulso,Movimiento,Recordatorio de O2,Recordatorio de PR
15:11:37 Oct 08 2024,95,62,0,0,0
15:11:41 Oct 08 2024,95,62,0,0,0
15:11:45 Oct 08 2024,95,62,0,0,0
15:11:49 Oct 08 2024,96,62,0,0,0
15:11:53 Oct 08 2024,96,65,0,0,0
15:11:57 Oct 08 2024,96,65,0,0,0
15:12:01 Oct 08 2024,96,65,0,0,0
15:12:05 Oct 08 2024,96,65,0,0,0
15:12:09 Oct 08 2024,96,66,0,0,0
15:12:13 Oct 08 2024,96,65,0,0,0
15:12:17 Oct 08 2024,95,66,0,0,0
15:12:21 Oct 08 2024,95,67,0,0,0
15:12:25 Oct 08 2024,94,67,0,0,0
15:12:29 Oct 08 2024,94,67,0,0,0
15:12:33 Oct 08 2024,93,65,0,0,0
15:12:37 Oct 08 2024,93,65,0,0,0
15:12:41 Oct 08 2024,93,67,0,0,0
15:12:45 Oct 08 2024,93,67,0,0,0
15:12:49 Oct 08 2024,93,65,1,0,0
15:12:53 Oct 08 2024,93,65,1,0,0
15:12:57 Oct 08 2024,93,66,1,0,0
15:13:01 Oct 08 2024,93,67,0,0,0
15:13:05 Oct 08 2024,93,67,4,0,0
15:13:21 Oct 08 2024,93,70,44,0,0
15:13:25 Oct 08 2024,93,70,8,0,0
15:13:29 Oct 08 2024,93,70,9,0,0
15:13:33 Oct 08 2024,93,72,1,0,0
15:13:37 Oct 08 2024,94,71,1,0,0
15:13:41 Oct 08 2024,95,67,55,0,0
15:13:45 Oct 08 2024,95,67,2,0,0
15:13:49 Oct 08 2024,95,67,2,0,0
15:13:53 Oct 08 2024,95,68,1,0,0
15:13:57 Oct 08 2024,95,72,1,0,0
15:14:01 Oct 08 2024,95,69,1,0,0
15:14:05 Oct 08 2024,95,64,1,0,0
15:14:09 Oct 08 2024,95,64,1,0,0
15:14:13 Oct 08 2024,95,63,1,0,0
15:14:17 Oct 08 2024,95,63,1,0,0
15:14:21 Oct 08 2024,95,64,1,0,0
15:14:25 Oct 08 2024,95,65,1,0,0
15:14:29 Oct 08 2024,95,65,1,0,0
15:14:33 Oct 08 2024,95,65,1,0,0
15:14:37 Oct 08 2024,94,66,1,0,0
15:14:41 Oct 08 2024,94,66,1,0,0
15:14:45 Oct 08 2024,94,67,1,0,0
15:14:49 Oct 08 2024,93,67,1,0,0
15:14:53 Oct 08 2024,93,66,1,0,0
15:14:57 Oct 08 2024,93,67,1,0,0
15:15:01 Oct 08 2024,93,68,1,0,0
15:15:05 Oct 08 2024,93,67,1,0,0
15:15:09 Oct 08 2024,93,68,1,0,0
15:15:13 Oct 08 2024,93,70,1,0,0
15:15:17 Oct 08 2024,92,70,1,0,0
15:15:21 Oct 08 2024,92,70,1,0,0
15:15:25 Oct 08 2024,92,69,1,0,0
15:15:29 Oct 08 2024,92,68,1,0,0
15:15:33 Oct 08 2024,92,68,1,0,0
15:15:37 Oct 08 2024,93,67,1,0,0
15:15:41 Oct 08 2024,93,65,1,0,0
15:15:45 Oct 08 2024,93,65,13,0,0

