Hora,Nivel de oxígeno,Frecuencia de pulso,Movimiento,Recordatorio de O2,Recordatorio de PR
14:21:49 Oct 08 2024,96,68,0,0,0
14:21:53 Oct 08 2024,96,67,0,0,0
14:21:57 Oct 08 2024,96,63,0,0,0
14:22:01 Oct 08 2024,96,62,0,0,0
14:22:05 Oct 08 2024,96,62,0,0,0
14:22:09 Oct 08 2024,96,63,0,0,0
14:22:13 Oct 08 2024,96,63,0,0,0
14:22:17 Oct 08 2024,95,66,0,0,0
14:22:21 Oct 08 2024,95,68,0,0,0
14:22:25 Oct 08 2024,96,67,0,0,0
14:22:29 Oct 08 2024,96,65,0,0,0
14:22:33 Oct 08 2024,96,63,0,0,0
14:22:37 Oct 08 2024,96,63,0,0,0
14:22:41 Oct 08 2024,96,66,0,0,0
14:22:45 Oct 08 2024,96,66,0,0,0
14:22:49 Oct 08 2024,96,67,1,0,0
14:22:53 Oct 08 2024,96,67,0,0,0
14:22:57 Oct 08 2024,95,66,0,0,0
14:23:01 Oct 08 2024,96,67,0,0,0

