Hora,Nivel de oxígeno,Frecuencia de pulso,Movimiento,Recordatorio de O2,Recordatorio de PR
13:22:39 Oct 08 2024,94,82,1,0,0
13:22:43 Oct 08 2024,93,86,1,0,0
13:22:47 Oct 08 2024,93,86,136,0,0
13:22:51 Oct 08 2024,93,88,89,0,0
13:22:55 Oct 08 2024,93,86,1,0,0
13:22:59 Oct 08 2024,93,86,1,0,0
13:23:03 Oct 08 2024,93,81,1,0,0
13:23:07 Oct 08 2024,92,80,14,0,0
13:23:11 Oct 08 2024,92,82,28,0,0
13:23:15 Oct 08 2024,92,82,1,0,0
13:23:19 Oct 08 2024,93,80,1,0,0
13:23:23 Oct 08 2024,94,80,1,0,0
13:23:27 Oct 08 2024,94,81,6,0,0
13:23:31 Oct 08 2024,94,81,6,0,0
13:23:35 Oct 08 2024,94,81,44,0,0
13:23:39 Oct 08 2024,94,81,1,0,0
13:23:43 Oct 08 2024,94,80,1,0,0
13:23:47 Oct 08 2024,94,81,2,0,0
13:23:51 Oct 08 2024,94,81,1,0,0
13:23:55 Oct 08 2024,94,82,1,0,0
13:23:59 Oct 08 2024,95,83,23,0,0
13:24:03 Oct 08 2024,94,80,2,0,0
13:24:07 Oct 08 2024,94,84,1,0,0
13:24:11 Oct 08 2024,93,84,6,0,0
13:24:15 Oct 08 2024,94,89,2,0,0
13:24:19 Oct 08 2024,94,89,1,0,0
13:24:23 Oct 08 2024,94,82,1,0,0
13:24:27 Oct 08 2024,94,72,1,0,0
13:24:31 Oct 08 2024,94,72,1,0,0
13:24:35 Oct 08 2024,95,75,1,0,0
13:24:39 Oct 08 2024,95,79,1,0,0
13:24:43 Oct 08 2024,95,79,1,0,0
13:24:47 Oct 08 2024,95,78,1,0,0
13:24:51 Oct 08 2024,95,80,1,0,0
13:24:55 Oct 08 2024,95,81,1,0,0
13:24:59 Oct 08 2024,95,82,1,0,0
13:25:03 Oct 08 2024,94,82,1,0,0
13:25:07 Oct 08 2024,94,81,1,0,0
13:25:11 Oct 08 2024,94,82,1,0,0
13:25:15 Oct 08 2024,94,83,1,0,0
13:25:19 Oct 08 2024,94,84,1,0,0
13:25:23 Oct 08 2024,94,86,1,0,0
13:25:27 Oct 08 2024,94,86,1,0,0
13:25:31 Oct 08 2024,94,83,1,0,0
13:25:35 Oct 08 2024,94,85,1,0,0
13:25:39 Oct 08 2024,94,84,1,0,0
13:25:43 Oct 08 2024,94,82,1,0,0
