Hora,Nivel de oxígeno,Frecuencia de pulso,Movimiento,Recordatorio de O2,Recordatorio de PR
13:54:27 Oct 08 2024,94,74,1,0,0
13:54:31 Oct 08 2024,94,72,1,0,0
13:54:35 Oct 08 2024,95,69,1,0,0
13:54:39 Oct 08 2024,95,64,1,0,0
13:54:43 Oct 08 2024,95,63,1,0,0
13:54:47 Oct 08 2024,95,64,1,0,0
13:54:51 Oct 08 2024,96,62,1,0,0
13:54:55 Oct 08 2024,96,63,1,0,0
13:54:59 Oct 08 2024,95,64,1,0,0
13:55:03 Oct 08 2024,95,63,1,0,0
13:55:07 Oct 08 2024,95,64,1,0,0
13:55:11 Oct 08 2024,96,63,1,0,0
13:55:15 Oct 08 2024,96,62,1,0,0
13:55:19 Oct 08 2024,95,65,1,0,0
13:55:23 Oct 08 2024,95,64,2,0,0
13:55:27 Oct 08 2024,95,64,1,0,0
13:55:31 Oct 08 2024,95,63,1,0,0
13:55:35 Oct 08 2024,95,65,1,0,0
13:55:39 Oct 08 2024,96,68,1,0,0
13:55:43 Oct 08 2024,96,70,1,0,0
13:55:47 Oct 08 2024,96,69,1,0,0
13:55:51 Oct 08 2024,95,70,1,0,0
13:55:55 Oct 08 2024,95,71,1,0,0

