Hora,Nivel de oxígeno,Frecuencia de pulso,Movimiento,Recordatorio de O2,Recordatorio de PR
12:42:26 Oct 09 2024,96,80,1,0,0
12:42:30 Oct 09 2024,96,80,1,0,0
12:42:34 Oct 09 2024,96,81,1,0,0
12:42:38 Oct 09 2024,96,80,1,0,0
12:42:42 Oct 09 2024,96,80,2,0,0
12:42:46 Oct 09 2024,96,80,1,0,0
12:42:50 Oct 09 2024,96,76,1,0,0
12:42:54 Oct 09 2024,95,76,1,0,0
12:42:58 Oct 09 2024,95,74,1,0,0
12:43:02 Oct 09 2024,94,73,1,0,0
12:43:06 Oct 09 2024,93,73,1,0,0
12:43:10 Oct 09 2024,93,73,1,0,0
12:43:14 Oct 09 2024,93,72,1,0,0
12:43:18 Oct 09 2024,93,73,1,0,0
12:43:22 Oct 09 2024,94,76,1,0,0
12:43:26 Oct 09 2024,94,79,1,0,0
12:43:30 Oct 09 2024,94,82,1,0,0
12:43:34 Oct 09 2024,94,79,1,0,0
12:43:38 Oct 09 2024,94,80,1,0,0
12:43:42 Oct 09 2024,94,80,1,0,0
12:43:46 Oct 09 2024,95,78,1,0,0
12:43:50 Oct 09 2024,95,76,1,0,0
12:43:54 Oct 09 2024,95,77,1,0,0
12:43:58 Oct 09 2024,95,75,1,0,0
12:44:02 Oct 09 2024,94,76,1,0,0
12:44:06 Oct 09 2024,95,76,1,0,0
12:44:10 Oct 09 2024,95,80,1,0,0
12:44:14 Oct 09 2024,95,78,1,0,0
12:44:18 Oct 09 2024,96,78,1,0,0
12:44:22 Oct 09 2024,95,76,1,0,0
12:44:26 Oct 09 2024,96,81,1,0,0
12:44:30 Oct 09 2024,96,82,1,0,0
12:44:34 Oct 09 2024,95,81,1,0,0
12:44:38 Oct 09 2024,95,77,1,0,0
12:44:42 Oct 09 2024,95,75,1,0,0
12:44:46 Oct 09 2024,95,74,1,0,0
12:44:50 Oct 09 2024,95,75,1,0,0
12:44:54 Oct 09 2024,95,78,1,0,0
12:44:58 Oct 09 2024,96,81,1,0,0
12:45:02 Oct 09 2024,96,81,1,0,0
12:45:06 Oct 09 2024,96,81,1,0,0
