Hora,Nivel de oxígeno,Frecuencia de pulso,Movimiento,Recordatorio de O2,Recordatorio de PR
14:05:15 Oct 14 2024,96,62,1,0,0
14:05:19 Oct 14 2024,96,61,1,0,0
14:05:23 Oct 14 2024,96,57,1,0,0
14:05:27 Oct 14 2024,96,57,1,0,0
14:05:31 Oct 14 2024,96,55,1,0,0
14:05:35 Oct 14 2024,96,51,1,0,0
14:05:39 Oct 14 2024,96,50,1,0,0
14:05:43 Oct 14 2024,96,49,1,0,0
14:05:47 Oct 14 2024,96,46,1,0,0
14:05:51 Oct 14 2024,96,46,1,0,0
14:05:55 Oct 14 2024,96,47,1,0,0
14:05:59 Oct 14 2024,96,47,1,0,0
14:06:03 Oct 14 2024,96,47,1,0,0
14:06:07 Oct 14 2024,96,48,1,0,0
14:06:11 Oct 14 2024,96,48,1,0,0
14:06:15 Oct 14 2024,96,51,1,0,0
14:06:19 Oct 14 2024,96,51,1,0,0
14:06:23 Oct 14 2024,96,52,1,0,0
14:06:27 Oct 14 2024,95,51,1,0,0
14:06:31 Oct 14 2024,95,49,1,0,0
14:06:35 Oct 14 2024,96,47,1,0,0
14:06:39 Oct 14 2024,96,48,1,0,0
14:06:43 Oct 14 2024,96,50,1,0,0
14:06:47 Oct 14 2024,96,49,1,0,0
14:06:51 Oct 14 2024,96,48,1,0,0
14:06:55 Oct 14 2024,96,47,1,0,0
14:06:59 Oct 14 2024,96,47,1,0,0
14:07:03 Oct 14 2024,96,47,1,0,0
14:07:07 Oct 14 2024,96,48,1,0,0
14:07:11 Oct 14 2024,96,49,1,0,0
14:07:15 Oct 14 2024,96,50,1,0,0
14:07:19 Oct 14 2024,96,52,1,0,0
14:07:23 Oct 14 2024,96,52,1,0,0
14:07:27 Oct 14 2024,96,52,1,0,0
14:07:31 Oct 14 2024,96,54,1,0,0
14:07:35 Oct 14 2024,97,53,1,0,0
14:07:39 Oct 14 2024,97,54,1,0,0
14:07:43 Oct 14 2024,97,53,1,0,0
14:07:47 Oct 14 2024,97,54,1,0,0
14:07:51 Oct 14 2024,97,54,1,0,0
14:07:55 Oct 14 2024,98,54,1,0,0
14:07:59 Oct 14 2024,98,55,1,0,0
14:08:03 Oct 14 2024,97,56,1,0,0
14:08:07 Oct 14 2024,97,56,1,0,0

