Hora,Nivel de oxígeno,Frecuencia de pulso,Movimiento,Recordatorio de O2,Recordatorio de PR
14:02:57 Oct 14 2024,98,65,0,0,0
14:03:01 Oct 14 2024,98,64,1,0,0
14:03:05 Oct 14 2024,98,61,0,0,0
14:03:09 Oct 14 2024,98,57,0,0,0
14:03:13 Oct 14 2024,99,56,1,0,0
14:03:17 Oct 14 2024,99,56,0,0,0
14:03:21 Oct 14 2024,99,54,0,0,0
14:03:25 Oct 14 2024,98,52,0,0,0
14:03:29 Oct 14 2024,98,54,0,0,0
14:03:33 Oct 14 2024,99,56,1,0,0
14:03:37 Oct 14 2024,99,55,1,0,0
14:03:41 Oct 14 2024,98,63,0,0,0
14:03:45 Oct 14 2024,98,64,0,0,0
14:03:49 Oct 14 2024,98,60,0,0,0
14:03:53 Oct 14 2024,98,64,1,0,0
14:03:57 Oct 14 2024,97,65,0,0,0
14:04:01 Oct 14 2024,97,63,1,0,0
14:04:05 Oct 14 2024,98,64,1,0,0
14:04:09 Oct 14 2024,98,60,1,0,0
14:04:13 Oct 14 2024,97,59,0,0,0
14:04:17 Oct 14 2024,97,57,0,0,0
14:04:21 Oct 14 2024,97,58,1,0,0
14:04:25 Oct 14 2024,97,58,1,0,0
14:04:29 Oct 14 2024,97,60,0,0,0
14:04:33 Oct 14 2024,97,61,0,0,0
14:04:37 Oct 14 2024,97,57,8,0,0

