Hora,Nivel de oxígeno,Frecuencia de pulso,Movimiento,Recordatorio de O2,Recordatorio de PR
10:56:25 Oct 22 2024,97,79,1,0,0
10:56:29 Oct 22 2024,97,78,0,0,0
10:56:33 Oct 22 2024,97,79,1,0,0
10:56:37 Oct 22 2024,97,81,1,0,0
10:56:41 Oct 22 2024,97,81,1,0,0
10:56:45 Oct 22 2024,96,80,1,0,0
10:56:49 Oct 22 2024,96,80,1,0,0
10:56:53 Oct 22 2024,97,84,1,0,0
10:56:57 Oct 22 2024,97,87,1,0,0
10:57:01 Oct 22 2024,97,85,1,0,0
10:57:05 Oct 22 2024,97,84,1,0,0
10:57:09 Oct 22 2024,96,83,1,0,0
10:57:13 Oct 22 2024,97,79,1,0,0
10:57:17 Oct 22 2024,97,76,0,0,0
10:57:21 Oct 22 2024,97,77,1,0,0
10:57:25 Oct 22 2024,97,79,1,0,0
10:57:29 Oct 22 2024,97,83,0,0,0
10:57:33 Oct 22 2024,97,85,1,0,0
10:57:37 Oct 22 2024,97,82,1,0,0
10:57:41 Oct 22 2024,97,77,1,0,0
10:57:45 Oct 22 2024,96,78,1,0,0
10:57:49 Oct 22 2024,96,80,1,0,0
10:57:53 Oct 22 2024,97,80,1,0,0
10:57:57 Oct 22 2024,96,81,1,0,0
10:58:01 Oct 22 2024,96,82,1,0,0
10:58:05 Oct 22 2024,96,84,0,0,0
10:58:09 Oct 22 2024,97,82,1,0,0
10:58:13 Oct 22 2024,97,84,1,0,0
10:58:17 Oct 22 2024,97,86,1,0,0
10:58:21 Oct 22 2024,97,84,1,0,0
10:58:25 Oct 22 2024,97,79,1,0,0

