Hora,Nivel de oxígeno,Frecuencia de pulso,Movimiento,Recordatorio de O2,Recordatorio de PR
14:54:31 Oct 03 2024,91,73,1,0,0
14:54:35 Oct 03 2024,92,73,1,0,0
14:54:39 Oct 03 2024,93,74,1,0,0
14:54:43 Oct 03 2024,94,71,0,0,0
14:54:47 Oct 03 2024,94,66,1,0,0
14:54:51 Oct 03 2024,94,69,1,0,0
14:54:55 Oct 03 2024,94,73,1,0,0
14:54:59 Oct 03 2024,93,73,1,0,0
14:55:03 Oct 03 2024,92,74,1,0,0
14:55:07 Oct 03 2024,92,76,1,0,0
14:55:11 Oct 03 2024,93,77,1,0,0
14:55:15 Oct 03 2024,94,74,1,0,0
14:55:19 Oct 03 2024,95,71,1,0,0
14:55:23 Oct 03 2024,95,70,1,0,0
14:55:27 Oct 03 2024,94,72,1,0,0
14:55:31 Oct 03 2024,93,73,1,0,0
14:55:35 Oct 03 2024,94,72,1,0,0
14:55:39 Oct 03 2024,94,71,1,0,0
14:55:43 Oct 03 2024,93,67,1,0,0
14:55:47 Oct 03 2024,92,66,1,0,0
14:55:51 Oct 03 2024,91,70,1,0,0
14:55:55 Oct 03 2024,91,72,1,0,0
14:55:59 Oct 03 2024,92,70,1,0,0
14:56:03 Oct 03 2024,92,71,1,0,0
14:56:07 Oct 03 2024,92,70,0,0,0
14:56:11 Oct 03 2024,92,67,0,0,0
14:56:15 Oct 03 2024,92,71,1,0,0
14:56:19 Oct 03 2024,93,75,1,0,0
14:56:23 Oct 03 2024,94,71,1,0,0

