Hora,Nivel de oxígeno,Frecuencia de pulso,Movimiento,Recordatorio de O2,Recordatorio de PR
14:57:18 Oct 03 2024,94,69,1,0,0
14:57:22 Oct 03 2024,93,70,0,0,0
14:57:26 Oct 03 2024,92,74,1,0,0
14:57:30 Oct 03 2024,92,76,1,0,0
14:57:34 Oct 03 2024,92,80,1,0,0
14:57:38 Oct 03 2024,92,82,1,0,0
14:57:42 Oct 03 2024,93,81,1,0,0
14:57:46 Oct 03 2024,93,76,1,0,0
14:57:50 Oct 03 2024,93,78,0,0,0
14:57:54 Oct 03 2024,92,78,1,0,0
14:57:58 Oct 03 2024,92,76,1,0,0
14:58:02 Oct 03 2024,92,78,0,0,0
14:58:06 Oct 03 2024,92,82,1,0,0
14:58:10 Oct 03 2024,93,82,1,0,0
14:58:14 Oct 03 2024,93,79,0,0,0
14:58:18 Oct 03 2024,93,78,1,0,0
14:58:22 Oct 03 2024,92,77,1,0,0
14:58:26 Oct 03 2024,92,80,0,0,0
14:58:30 Oct 03 2024,92,79,0,0,0
14:58:34 Oct 03 2024,93,80,0,0,0
14:58:38 Oct 03 2024,93,80,0,0,0
14:58:42 Oct 03 2024,93,82,0,0,0
14:58:46 Oct 03 2024,94,83,0,0,0
14:58:50 Oct 03 2024,94,82,1,0,0
14:58:54 Oct 03 2024,94,82,0,0,0
14:58:58 Oct 03 2024,94,83,0,0,0
14:59:02 Oct 03 2024,93,82,0,0,0
14:59:06 Oct 03 2024,93,80,0,0,0
14:59:10 Oct 03 2024,95,75,0,0,0
14:59:14 Oct 03 2024,95,75,0,0,0

