Hora,Nivel de oxígeno,Frecuencia de pulso,Movimiento,Recordatorio de O2,Recordatorio de PR
16:13:20 Oct 03 2024,96,107,1,0,0
16:13:24 Oct 03 2024,96,107,0,0,0
16:13:28 Oct 03 2024,96,106,1,0,0
16:13:32 Oct 03 2024,94,106,1,0,0
16:13:36 Oct 03 2024,93,106,1,0,0
16:13:40 Oct 03 2024,93,106,1,0,0
16:13:44 Oct 03 2024,94,102,1,0,0
16:13:48 Oct 03 2024,94,101,1,0,0
16:13:52 Oct 03 2024,94,97,0,0,0
16:13:56 Oct 03 2024,95,97,1,0,0
16:14:00 Oct 03 2024,95,102,0,0,0
16:14:04 Oct 03 2024,95,103,1,0,0
16:14:08 Oct 03 2024,96,104,0,0,0
16:14:12 Oct 03 2024,96,104,1,0,0
16:14:16 Oct 03 2024,96,103,1,0,0
16:14:20 Oct 03 2024,96,102,1,0,0
16:14:24 Oct 03 2024,96,98,1,0,0
16:14:28 Oct 03 2024,96,99,1,0,0
16:14:32 Oct 03 2024,96,103,1,0,0
16:14:36 Oct 03 2024,96,104,1,0,0
16:14:40 Oct 03 2024,96,104,0,0,0
16:14:44 Oct 03 2024,96,103,1,0,0
16:14:48 Oct 03 2024,96,103,1,0,0
16:14:52 Oct 03 2024,95,103,1,0,0
16:14:56 Oct 03 2024,95,101,1,0,0
16:15:00 Oct 03 2024,96,102,1,0,0
16:15:04 Oct 03 2024,96,104,1,0,0
16:15:08 Oct 03 2024,96,104,1,0,0
16:15:12 Oct 03 2024,96,102,1,0,0
16:15:16 Oct 03 2024,97,101,1,0,0
16:15:20 Oct 03 2024,97,98,1,0,0
16:15:24 Oct 03 2024,97,96,1,0,0
