Hora,Nivel de oxígeno,Frecuencia de pulso,Movimiento,Recordatorio de O2,Recordatorio de PR
15:06:21 Oct 03 2024,96,72,0,0,0
15:06:25 Oct 03 2024,95,71,1,0,0
15:06:29 Oct 03 2024,94,75,9,0,0
15:06:33 Oct 03 2024,94,78,21,0,0
15:06:37 Oct 03 2024,92,83,1,0,0
15:06:41 Oct 03 2024,92,81,1,0,0
15:06:45 Oct 03 2024,92,75,1,0,0
15:06:49 Oct 03 2024,93,73,1,0,0
15:06:53 Oct 03 2024,94,64,53,0,0
15:06:57 Oct 03 2024,94,63,1,0,0
15:07:01 Oct 03 2024,93,67,0,0,0
15:07:05 Oct 03 2024,93,73,0,0,0
15:07:09 Oct 03 2024,92,70,0,0,0
15:07:13 Oct 03 2024,91,70,1,0,0
15:07:17 Oct 03 2024,92,72,0,0,0
15:07:21 Oct 03 2024,93,73,1,0,0
15:07:25 Oct 03 2024,93,73,1,0,0
15:07:29 Oct 03 2024,92,74,0,0,0
15:07:33 Oct 03 2024,92,74,0,0,0
15:07:37 Oct 03 2024,93,73,1,0,0
15:07:41 Oct 03 2024,93,73,1,0,0
15:07:45 Oct 03 2024,93,73,0,0,0
15:07:49 Oct 03 2024,93,72,21,0,0
15:07:53 Oct 03 2024,93,75,20,0,0
15:07:57 Oct 03 2024,92,82,15,0,0
15:08:01 Oct 03 2024,93,77,4,0,0
15:08:05 Oct 03 2024,94,71,1,0,0
15:08:09 Oct 03 2024,94,71,1,0,0
15:08:13 Oct 03 2024,94,73,1,0,0
15:08:17 Oct 03 2024,93,73,0,0,0
15:08:21 Oct 03 2024,93,71,1,0,0
15:08:25 Oct 03 2024,93,70,5,0,0
15:08:29 Oct 03 2024,93,67,1,0,0
15:08:33 Oct 03 2024,93,65,1,0,0
15:08:37 Oct 03 2024,93,66,1,0,0
15:08:41 Oct 03 2024,93,68,1,0,0
15:08:45 Oct 03 2024,93,68,17,0,0
15:08:49 Oct 03 2024,93,68,11,0,0
15:08:53 Oct 03 2024,93,69,1,0,0
15:08:57 Oct 03 2024,94,68,1,0,0
15:09:01 Oct 03 2024,94,67,0,0,0
15:09:05 Oct 03 2024,94,69,1,0,0
15:09:09 Oct 03 2024,94,71,0,0,0
15:09:13 Oct 03 2024,93,71,0,0,0
15:09:17 Oct 03 2024,93,71,0,0,0
15:09:21 Oct 03 2024,93,71,1,0,0
15:09:25 Oct 03 2024,93,72,6,0,0
15:09:29 Oct 03 2024,93,74,0,0,0
15:09:33 Oct 03 2024,93,75,0,0,0
15:09:37 Oct 03 2024,92,75,1,0,0
15:09:41 Oct 03 2024,92,75,0,0,0
15:09:45 Oct 03 2024,92,74,1,0,0
15:09:49 Oct 03 2024,92,73,1,0,0
15:09:53 Oct 03 2024,92,72,1,0,0
15:09:57 Oct 03 2024,92,72,0,0,0
15:10:01 Oct 03 2024,92,70,1,0,0
15:10:05 Oct 03 2024,92,69,1,0,0
15:10:09 Oct 03 2024,93,71,1,0,0
