Hora,Nivel de oxígeno,Frecuencia de pulso,Movimiento,Recordatorio de O2,Recordatorio de PR
13:08:10 Oct 04 2024,96,69,1,0,0
13:08:14 Oct 04 2024,95,67,0,0,0
13:08:18 Oct 04 2024,94,68,1,0,0
13:08:22 Oct 04 2024,93,69,0,0,0
13:08:26 Oct 04 2024,94,67,0,0,0
13:08:30 Oct 04 2024,94,67,0,0,0
13:08:34 Oct 04 2024,95,67,1,0,0
13:08:38 Oct 04 2024,95,68,0,0,0
13:08:42 Oct 04 2024,95,70,0,0,0
13:08:46 Oct 04 2024,95,70,1,0,0
13:08:50 Oct 04 2024,95,74,0,0,0
13:08:54 Oct 04 2024,94,77,1,0,0
13:08:58 Oct 04 2024,94,78,1,0,0
13:09:02 Oct 04 2024,94,75,0,0,0
13:09:06 Oct 04 2024,94,74,0,0,0
13:09:10 Oct 04 2024,95,71,1,0,0
13:09:14 Oct 04 2024,95,72,1,0,0
13:09:18 Oct 04 2024,96,78,1,0,0
13:09:22 Oct 04 2024,96,78,0,0,0
13:09:26 Oct 04 2024,96,77,0,0,0
13:09:30 Oct 04 2024,96,71,0,0,0
13:09:34 Oct 04 2024,96,68,0,0,0
13:09:38 Oct 04 2024,95,68,0,0,0
13:09:42 Oct 04 2024,95,64,0,0,0
13:09:46 Oct 04 2024,95,62,0,0,0
13:09:50 Oct 04 2024,95,63,0,0,0
13:09:54 Oct 04 2024,96,66,0,0,0
13:09:58 Oct 04 2024,96,64,0,0,0
13:10:02 Oct 04 2024,95,67,0,0,0
13:10:06 Oct 04 2024,95,69,1,0,0
13:10:10 Oct 04 2024,95,69,1,0,0
13:10:14 Oct 04 2024,95,72,1,0,0
13:10:18 Oct 04 2024,94,71,1,0,0
13:10:22 Oct 04 2024,94,73,1,0,0
13:10:26 Oct 04 2024,94,77,0,0,0
13:10:30 Oct 04 2024,94,75,0,0,0
13:10:34 Oct 04 2024,95,71,0,0,0
13:10:38 Oct 04 2024,95,71,1,0,0
13:10:42 Oct 04 2024,96,72,0,0,0
13:10:46 Oct 04 2024,96,74,1,0,0
13:10:50 Oct 04 2024,96,75,0,0,0
13:10:54 Oct 04 2024,96,74,0,0,0
13:10:58 Oct 04 2024,96,75,0,0,0
13:11:02 Oct 04 2024,95,76,0,0,0
13:11:06 Oct 04 2024,95,76,1,0,0
13:11:10 Oct 04 2024,95,76,0,0,0
13:11:14 Oct 04 2024,95,74,0,0,0
13:11:18 Oct 04 2024,95,74,1,0,0
13:11:22 Oct 04 2024,94,71,1,0,0
13:11:26 Oct 04 2024,95,75,0,0,0
13:11:30 Oct 04 2024,95,79,0,0,0
13:11:34 Oct 04 2024,94,77,0,0,0
13:11:38 Oct 04 2024,95,76,8,0,0
