Hora,Nivel de oxígeno,Frecuencia de pulso,Movimiento,Recordatorio de O2,Recordatorio de PR
12:31:45 Oct 04 2024,95,91,0,0,0
12:31:49 Oct 04 2024,94,91,0,0,0
12:31:53 Oct 04 2024,94,92,0,0,0
12:31:57 Oct 04 2024,94,91,0,0,0
12:32:01 Oct 04 2024,95,88,0,0,0
12:32:05 Oct 04 2024,95,89,0,0,0
12:32:09 Oct 04 2024,95,92,1,0,0
12:32:13 Oct 04 2024,94,97,0,0,0
12:32:17 Oct 04 2024,94,95,0,0,0
12:32:21 Oct 04 2024,94,89,0,0,0
12:32:25 Oct 04 2024,94,88,0,0,0
12:32:29 Oct 04 2024,94,86,0,0,0
12:32:33 Oct 04 2024,94,85,0,0,0
12:32:37 Oct 04 2024,95,88,0,0,0
12:32:41 Oct 04 2024,96,90,0,0,0
12:32:45 Oct 04 2024,96,93,0,0,0
12:32:49 Oct 04 2024,96,91,0,0,0
12:32:53 Oct 04 2024,95,88,0,0,0
12:32:57 Oct 04 2024,96,88,1,0,0
12:33:01 Oct 04 2024,96,92,1,0,0
12:33:05 Oct 04 2024,95,93,0,0,0
12:33:09 Oct 04 2024,95,93,0,0,0
12:33:13 Oct 04 2024,96,93,1,0,0
12:33:17 Oct 04 2024,95,94,40,0,0

