Hora,Nivel de oxígeno,Frecuencia de pulso,Movimiento,Recordatorio de O2,Recordatorio de PR
11:30:47 Oct 04 2024,93,83,6,0,0
11:30:51 Oct 04 2024,93,84,46,0,0
11:30:55 Oct 04 2024,93,81,0,0,0
11:30:59 Oct 04 2024,94,79,0,0,0
11:31:03 Oct 04 2024,93,80,1,0,0
11:31:07 Oct 04 2024,92,82,0,0,0
11:31:11 Oct 04 2024,92,83,1,0,0
11:31:15 Oct 04 2024,92,84,1,0,0
11:31:19 Oct 04 2024,92,84,1,0,0
11:31:23 Oct 04 2024,92,84,0,0,0
11:31:27 Oct 04 2024,92,83,0,0,0
11:31:31 Oct 04 2024,92,83,1,0,0
11:31:35 Oct 04 2024,92,83,0,0,0
11:31:39 Oct 04 2024,92,85,0,0,0
11:31:43 Oct 04 2024,92,85,0,0,0
11:31:47 Oct 04 2024,91,84,0,0,0
11:31:51 Oct 04 2024,91,85,1,0,0
11:31:55 Oct 04 2024,91,86,0,0,0
11:31:59 Oct 04 2024,91,84,0,0,0
11:32:03 Oct 04 2024,92,85,0,0,0
11:32:07 Oct 04 2024,92,84,0,0,0

